,title,heading,content,n_tokens
181,SectionNumber: 191,Giving false evidence:,"183
Resistance to the taking of property by the lawful authority of a public servant:  Resistance to the taking of property by the lawful authority of a public servant: Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to ÿ65[three thousand rupees]ÿ65, or with both.",107
182,SectionNumber: 192,Fabricating false evidence:,"184
Obstructing sale of property offered for sale by authority of public servant:  Obstructing sale of property offered for sale by authority of public servant: Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to ÿ66[one thousand five hundred rupees]ÿ66 rupees, or with both.",102
183,SectionNumber: 193,Punishment for false evidence:,"185
Illegal purchase or bid for property offered for sale by authority of public servant:  Illegal purchase or bid for property offered for sale by authority of public servant: Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or ""any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to ÿ67[six hundred rupees]ÿ67 rupees, or with both.",154
184,SectionNumber: 194,Giving or fabricating false evidence with intent to procure conviction of capital offence:,"186
Obstructing public servant in discharge of public functions:  Obstructing public servant in discharge of public functions: Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to ÿ68[one thousand five hundred rupees]ÿ68, or with both.",84
185,SectionNumber: 195,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or for a term of seven years or upwards:,"187
Omission to assist public servant when bound by law to give assistance:  Omission to assist public servant when bound by law to give assistance: Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to ÿ69[six hundred rupees]ÿ69, or with both; and if such assistance, be demanded of him by public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or of suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to ÿ70[one thousand five hundred rupees]ÿ70, or with both.",219
186,SectionNumber: 196,Using evidence known to be false:,"188
Disobedience to order duly promulgated by public servant:  Disobedience to order duly promulgated by public servant: Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management, disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to ÿ71[six hundred rupees]ÿ71, or with both; and if such disobedience causes or tends to cause danger to human' life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to ÿ72[three thousand rupees]ÿ72, or with both. Explanation: It is not necessary that the offender should intend to produce harm, or contemplate his disobedience as likely to produce harm. It is sufficient that he knows of the order which he disobeys, and that his disobedience produces, or is likely to produce harm. Illustration An order is promulgated by a public servant lawfully empowered to promulgate such order, directing that a religious procession shall not pass down a certain street. A, knowingly disobeys the order, and thereby causes danger of riot. A has committed the offence defined in the section.",349
187,SectionNumber: 197,Issuing or signing false certificate:,"189
Threat of injury to public servant:  Threat of injury to public servant: Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",106
188,SectionNumber: 198,Using as true a certificate known to be false:,"190
Threat of injury to induce person to refrain from applying for protection to public servant:  Threat of injury to induce person to refrain from applying for protection to public servant: Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",116
189,SectionNumber: 199,False statement made in declaration which is by law receivable as evidence:,"191
Giving false evidence:  Giving false evidence: Whoever being legally bound by an oath or by an express provision of law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, is said to give false evidence. Explanation 1: A statement is within the meaning of this section, whether it is made verbally or otherwise. Explanation 2: A false statement as to the belief of the person attesting is within the meaning of this section, and a person may be guilty of giving false evidence by stating that he believes a thing which he does not believe, as well as by stating that he knows a thing which he does not know. Illustrations (a)A, in support of a just claim which B has against Z for one thousand rupees, falsely swear on a trial that he heard Z admit the justice of B's claim- A has given false evidence.A, in support of a just claim which B has against Z for one thousand rupees, falsely swear on a trial that he heard Z admit the justice of B's claim- A has given false evidence. A, in support of a just claim which B has against Z for one thousand rupees, falsely swear on a trial that he heard Z admit the justice of B's claim- A has given false evidence. (b)A, being bound by an oath to state the truth, states that he believes a certain signature to be the handwriting of Z, when he does not believe it to be the handwriting of Z. Here A states that which he knows to be false, and therefore gives false evidence.A, being bound by an oath to state the truth, states that he believes a certain signature to be the handwriting of Z, when he does not believe it to be the handwriting of Z. Here A states that which he knows to be false, and therefore gives false evidence. A, being bound by an oath to state the truth, states that he believes a certain signature to be the handwriting of Z, when he does not believe it to be the handwriting of Z. Here A states that which he knows to be false, and therefore gives false evidence. (c)A, knowing the general character of Z's handwriting, states that he believes a certain signature to be the handwriting of Z. A in good faith believing it to be so.",498
190,SectionNumber: 200,Using as true such declaration knowing it to be false:,"Here A's statement is merely as to his believe, and is true as to his belief, and therefore although the signature may not be handwriting of Z, A has not given false evidence.A, knowing the general character of Z's handwriting, states that he believes a certain signature to be the handwriting of Z. A in good faith believing it to be so. Here A's statement is merely as to his believe, and is true as to his belief, and therefore although the signature may not be handwriting of Z, A has not given false evidence. A, knowing the general character of Z's handwriting, states that he believes a certain signature to be the handwriting of Z. A in good faith believing it to be so. Here A's statement is merely as to his believe, and is true as to his belief, and therefore although the signature may not be handwriting of Z, A has not given false evidence. (d)A, being bound by an oath to state the truth, states that he knows that Z was at a particular place on a particular day, not knowing anything upon the subject, A gives false evidence whether Z was at that place on the day named or not.A, being bound by an oath to state the truth, states that he knows that Z was at a particular place on a particular day, not knowing anything upon the subject, A gives false evidence whether Z was at that place on the day named or not. A, being bound by an oath to state the truth, states that he knows that Z was at a particular place on a particular day, not knowing anything upon the subject, A gives false evidence whether Z was at that place on the day named or not. (e)A, an interpreter or translator, gives or certifies, as a true interpretation or translation of a statement, which he is bound by oath to interpret or translate truly, that which is not and which he does not believe to be a true interpretation or translation. A has given false evidence.A, an interpreter or translator, gives or certifies, as a true interpretation or translation of a statement, which he is bound by oath to interpret or translate truly, that which is not and which he does not believe to be a true interpretation or translation. A has given false evidence.",459
191,SectionNumber: 201,"Causing disappearance of evidence of offence, or giving false information to screen offender:","192
Fabricating false evidence:  Fabricating false evidence: Whoever causes any circumstance to exist or makes any false entry in any book or record, or makes any document containing a false statement, intending that such circumstance, false entry or false statement may appear in evidence in a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous opinion touching any point material to the result of such proceeding, is said to fabricate false evidence. Illustrations (a)A puts jewels into a box belonging to Z, with the intention that they may be found in that box, and that this circumstance may cause Z to be convicted of theft. A has fabricated.A puts jewels into a box belonging to Z, with the intention that they may be found in that box, and that this circumstance may cause Z to be convicted of theft. A has fabricated. A puts jewels into a box belonging to Z, with the intention that they may be found in that box, and that this circumstance may cause Z to be convicted of theft. A has fabricated. (b)A makes a false entry in his shop-book for the purpose of using it as corroborative evidence in a Court of Justice. A has fabricated false evidence.A makes a false entry in his shop-book for the purpose of using it as corroborative evidence in a Court of Justice. A has fabricated false evidence. A makes a false entry in his shop-book for the purpose of using it as corroborative evidence in a Court of Justice. A has fabricated false evidence. (c)A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in imitation of Z's handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, and puts the letter in a place which he knows that the officers of the Police are likely to search. A has fabricated false evidence.A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in imitation of Z's handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, and puts the letter in a place which he knows that the officers of the Police are likely to search. A has fabricated false evidence.",489
192,SectionNumber: 202,Intentional omission to give information of offence by person bound to inform:,"193
Punishment for false evidence:  Punishment for false evidence: Whoever intentionally gives false evidence in any stage of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term, which may extend to seven years, and shall also be liable to fine; and whoever, intentionally gives or fabricates false evidence in any other case, shall, be punished with imprisonment of either description"" for a term which may extend to three years, and shall also be liable to fine. Explanation 1: A trial before a Court-martial is a judicial proceeding. Explanation 2: An investigation directed by law preliminary to a proceeding before a Court of Justice, is a stage of a judicial proceeding, though that investigation may not take place before a Court of Justice.ÿ73[]ÿ73 Explanation 3: An investigation directed by a Court of Justice according to law, and conducted under the authority of a Court of Justice, is a stage of a judicial proceeding/though that investigation may not take place before a Court of Justice. Illustration A, in an enquiry before an officer deputed by a Court of Justice to ascertain on the spot the boundaries of land, makes on oath a statement which he knows to be false. As this enquiry is a stage of a judicial proceeding, A has given false evidence.",285
193,SectionNumber: 203,Giving false information respecting an offence committed:,"194
Giving or fabricating false evidence with intent to procure conviction of capital offence:  Giving or fabricating false evidence with intent to procure conviction of capital offence: Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause any person to be convicted on an offence which is capital by any law for the time being in force, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine; if innocent person be thereby convicted and executed : and if an innocent person be convicted and executed in consequence of such false evidence the person who gives such false evidence shall be punished either with death or the punishment hereinbefore described.",152
194,SectionNumber: 204,Destruction of document to prevent its production as evidence:,"195
Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or for a term of seven years or upwards:  Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or for a term of seven years or upwards: Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause any person to be convicted of an offence which by any law for the time being in force is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished. Illustration A gives false evidence before a Court of Justice, intending thereby to cause Z to be convicted of a dacoity. The punishment of dacoity is imprisonment for life or rigorous imprisonment for a term, which may extend to ten years, with or without fine. A, therefore, is liable to such imprisonment for life or imprisonment with or without fine.",212
195,SectionNumber: 205,False personation for purpose of act or proceeding in suit or prosecution:,"196
Using evidence known to be false:  Using evidence known to be false: Whoever corruptly uses or attempts to use as true or genuine evidence, any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence.",58
196,SectionNumber: 206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution:,"197
Issuing or signing false certificate:  Issuing or signing false certificate: Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence.",76
197,SectionNumber: 207,Fraudulent claim to property to prevent its seizure as forfeited or in execution:,"198
Using as true a certificate known to be false:  Using as true a certificate known to be false: Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.",64
198,SectionNumber: 208,Fraudulently suffering decree for sum not due:,"199
False statement made in declaration which is by law receivable as evidence:  False statement made in declaration which is by law receivable as evidence: Whoever, in any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant or other person, is bound or authorized by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object-for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence.",126
199,SectionNumber: 209,Dishonestly making false claim in Court:,"200
Using as true such declaration knowing it to be false:  Using as true such declaration knowing it to be false: Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence. Explanation: A declaration, which is inadmissible merely upon the ground of some informality, is a declaration within the meaning of Sections 199 and 200.",97
200,SectionNumber: 210,Fraudulently obtaining decree for sum not due:,.,1
201,SectionNumber: 211,False charge of offence made with intent to injure:,"202
Intentional omission to give information of offence by person bound to inform:  Intentional omission to give information of offence by person bound to inform: Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which, he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",93
202,SectionNumber: 212,Harbouring offender:,"203
Giving false information respecting an offence committed:  Giving false information respecting an offence committed: Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. Explanation: In Sections 201 and 202 in this section the word ""offence"" includes any act committed at any place out of Pakistan, which, if committed in Pakistan, would be punishable under any of the following sections, namely, 302, 304, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402, 435, 436, 449, 450, 457, 458, 459, and 460.",183
203,SectionNumber: 213,"Taking gift, etc., to screen an offender from punishment:","204
Destruction of document to prevent its production as evidence:  Destruction of document to prevent its production as evidence: Whoever Secrets or destroys any document which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document with the intention of preventing the same from being produced or used as evidence before such Court, or public servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for that purpose, shall be punished with imprisonment of either description for a term which may extend to two years or with fine, or with both.",149
204,SectionNumber: 214,Offering gift or restoration of property in consideration of screening offender:,"205
False personation for purpose of act or proceeding in suit or prosecution:  False personation for purpose of act or proceeding in suit or prosecution: Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years or with fine, or with both.",103
205,SectionNumber: 215,"Taking gift to help to recover property, etc.:","206
Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution:  Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution: Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",177
206,SectionNumber: 216,Harbouring offender who has escaped from custody or whose apprehension has been ordered:,"207
Fraudulent claim to property to prevent its seizure as forfeited or in execution:  Fraudulent claim to property to prevent its seizure as forfeited or in execution: Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practises any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which' may extend to two years, or with fine, or with both.",196
207,SectionNumber: 217,Public servant disobeying direction of law with intent to save persons from punishment or property from forfeiture:,"208
Fraudulently suffering decree for sum not due:  Fraudulently suffering decree for sum not due: Whoever fraudulently causes or suffers a decree or order to be passed against him at the suit of any person for a sum not due, or for a larger sum than is due to such person or for any property or interest in property to which such person is not entitled, or fraudulently causes or suffers a decree or order to be executed against him after it has been satisfied, or for anything in respect of which it has been satisfied, shall be' punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. Illustration A institutes a suit against Z. Z, knowing that A is likely to obtain a decree against him fraudulently suffers a judgment to pass against him for a larger amount at the Suit of B, who has no just claim against him, in order that B, either on his own account or for the benefit of Z, may share in the proceeds of any sale of Z's property which may be made under A's decree. Z has committed an offence under this section.",237
208,SectionNumber: 218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture:,"209
Dishonestly making false claim in Court:  Dishonestly making false claim in Court: Whoever fraudulently or dishonestly, or with intent to injure any person, makes in a Court of Justice any claim which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.",78
209,SectionNumber: 219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law:","210
Fraudulently obtaining decree for sum not due:  Fraudulently obtaining decree for sum not due: Whoever fraudulently obtains a decree or order against any person for a sum not due, or for a larger sum than is due, or for any property or interest in property to which he is not entitled, or fraudulently causes a decree or order to be executed against any person after it has been satisfied or for anything in respect of which it has been satisfied, or fraudulently, suffers or permits any such act to be done in his name, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",142
210,SectionNumber: 220,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law:,"211
False charge of offence made with intent to injure:  False charge of offence made with intent to injure: Whoever with intent to cause injury to any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely charges any person with having committed as offence, knowing that there is no just or lawful ground for such proceeding or charge against that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both, and if such criminal proceeding be instituted on a false charge of an offence punishable with death, imprisonment for life or imprisonment for seven years or upwards, shall be punishable with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",158
211,SectionNumber: 221,Intentional omission to apprehend on the part of public servant bound to apprehend:,"212
Harbouring offender:  Harbouring offender: Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment, if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine,if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine, if a capital offence:  shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine, if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine, and if the offence is punishable with imprisonment which may extend to one year, and not to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine, and if the offence is punishable with imprisonment which may extend to one year, and not to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.",442
212,SectionNumber: 222,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed:,"213
Taking gift, etc., to screen an offender from punishment:  Taking gift, etc., to screen an offender from punishment: Whoever accepts or attempts to obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property to himself or any other person, in consideration of his concealing an offence or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment; if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if a capital offence:  shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for offence, or with fine, or with both.if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for offence, or with fine, or with both.",475
213,SectionNumber: 223,Escape from confinement or custody negligently suffered by public servant:,"214
Offering gift or restoration of property in consideration of screening offender:  Offering gift or restoration of property in consideration of screening offender: Whoever gives or causes or offers or agrees to give or cause, any gratification to any person, or to restore or cause the restoration of any property to any person, in consideration of that person's concealing an offence, or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment; if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;if a capital offence:if a capital offence:shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if a capital offence:  shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life, or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to fen years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.if punishable with imprisonment for life, or with imprisonment:if punishable with imprisonment for life, or with imprisonment:and if the offence is punishable with imprisonment for life, or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to fen years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.",483
214,SectionNumber: 224,Resistance or obstruction by a person to his lawful apprehension:,"215
Taking gift to help to recover property, etc.:  Taking gift to help to recover property, etc.: Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",114
215,SectionNumber: 225,Resistance or obstruction to lawful apprehension of another person:,.,1
216,SectionNumber: 227,Violation of condition of remission of punishment:,"217
Public servant disobeying direction of law with intent to save persons from punishment or property from forfeiture:  Public servant disobeying direction of law with intent to save persons from punishment or property from forfeiture: Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",169
217,SectionNumber: 228,Intentional insult or interruption to public servant sitting in judicial proceeding:,"218
Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture:  Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture: Whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record 'or writing-in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save any person from legal punishment, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine or with both.",190
218,SectionNumber: 229,Personation of a Juror or assessor:,"219
Public servant in judicial proceeding corruptly making report, etc., contrary to law:  Public servant in judicial proceeding corruptly making report, etc., contrary to law: Whoever being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",102
219,SectionNumber: 230,"""Coin"" defined:","220
Commitment for trial or confinement by person having authority who knows that he is acting contrary to law:  Commitment for trial or confinement by person having authority who knows that he is acting contrary to law: Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or confinement, or keeps any person in confinement, in the exercise of that authority, knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",135
220,SectionNumber: 231,Counterfeiting coin:,"221
Intentional omission to apprehend on the part of public servant bound to apprehend:  Intentional omission to apprehend on the part of public servant bound to apprehend: Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to.",90
221,SectionNumber: 232,Counterfeiting Pakistan coin:,.,1
222,SectionNumber: 233,Making or selling instrument for counterfeiting coin:,"223
Escape from confinement or custody negligently suffered by public servant:  Escape from confinement or custody negligently suffered by public servant: Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such persons to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",93
223,SectionNumber: 234,Making or selling instrument for counterfeiting Pakistan coin:,"224
Resistance or obstruction by a person to his lawful apprehension:  Resistance or obstruction by a person to his lawful apprehension: Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted; or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. Explanation: The punishment in this section is in addition to the punishment for which the person to be apprehended or detained in custody was liable for the offence with which he was charged, or of which he was convicted.",148
224,SectionNumber: 235,Possession of instrument or material for the purpose of using the same for counterfeiting coin:,.,1
225,SectionNumber: 236,Abetting in Pakistan the counterfeiting out of Pakistan of coin:,"227
Violation of condition of remission of punishment:  Violation of condition of remission of punishment: Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted/shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.",94
226,SectionNumber: 238,Import or export of counterfeits of Pakistan coin:,"228
Intentional insult or interruption to public servant sitting in judicial proceeding:  Intentional insult or interruption to public servant sitting in judicial proceeding: Whoever intentionally offers any insult or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to ÿ79[three thousand rupees]ÿ79, or with both.",99
227,SectionNumber: 239,"Delivery of coin, possessed with knowledge that it is counterfeit:","229
Personation of a Juror or assessor:  Personation of a Juror or assessor: Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",135
